COC(=O)OCF                                         C(-F/SP3,-O/SP2)
C[Si](C)(C)O[Si](C)(CCC1COC(=O)O1)O[Si](C)(C)C     C(-Si/SP3) /// Si(-C/SP3,-C/SP3,-C/SP3,-O/SP3) /// O(-Si/SP3,-Si/SP3) /// Si(-C/SP3,-C/SP3,-O/SP3,-O/SP3) /// C(-C/SP3,-Si/SP3)
C[Si](C)(C)OCCC#N                                  C(-Si/SP3) /// Si(-C/SP3,-C/SP3,-C/SP3,-O/SP3) /// O(-C/SP3,-Si/SP3)
C[Si](C)(C)O[Si](C)(C)CCC1COC(=O)O1                C(-Si/SP3) /// Si(-C/SP3,-C/SP3,-C/SP3,-O/SP3) /// O(-Si/SP3,-Si/SP3) /// C(-C/SP3,-Si/SP3)
O=C1OCCC1F                                         C(-C/SP2,-C/SP3,-F/SP3)
O=C1CC(F)CO1                                       C(-C/SP3,-C/SP3,-F/SP3)
O=C(OCF)OCF                                        C(-F/SP3,-O/SP2)
CC(OC(F)(F)C(F)C(F)(F)F)C(F)(F)C(F)C(F)(F)F        C(-C/SP3,-C/SP3,-F/SP3)
C1C(OC(=O)O1)CC(C(F)(F)F)(C(F)(F)F)F               C(-C/SP3,-C/SP3,-C/SP3,-F/SP3)
