-----------,,,,,,
64,CCOCC,16,NO,,,
65,CC[N+](CC)(CC)CC.C(F)(F)(F)S(=O)(=O)[O-],16,YES,Aladdin,Y79.90,5g(99%)
66,O=C(OCF)OCF,15,NO,,,
67,COB(OC)OC,15,YES,Aladdin,Y79.90,10ml(99.9%)
68,FC(F)C(F)(F)COCCOCC(F)(F)C(F)F,15,NO,,,
69,CCOCCOC,15,NO,,,
70,O=C1CC(F)CO1,15,NO,,,
71,CCCC[N+]1(CCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,15,YES,Aladdin,Y99.90,5g(99%)
72,CN(C)S(=O)(=O)C,15,YES,Aladdin,Y399.90,5g(98%)
73,CC(OC(F)(F)C(F)C(F)(F)F)C(F)(F)C(F)C(F)(F)F,15,NO,,,
74,C1C(OC(=O)O1)CC(C(F)(F)F)(C(F)(F)F)F,15,NO,,,
75,CS(N)(=O)=O,15,YES,Aladdin,Y31.90,5g(98%)
76,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,14,YES,Aladdin,Y89.90,5g(98%)
77,C(F)(Cl)(Cl)Cl,14,YES,Aladdin,Y23.90,25g（99.8%)
78,CCOC(=O)OC(C)F,14,NO,,,
79,CCOC(=O)OCCF,14,YES,长沙秉航新材料有限公司,Y4800.00,10g
80,CC1CCC(O1)C,12,YES,Aladdin,Y514.90,5ml（98%）
81,CC[N+](CC)(CC)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,12,YES,Macklin,Y325.00,1g(98%)
82,CC(OC(=O)OCC(F)(F)F)F,11,NO,,,
83,COC=O,11,YES,Aladdin,Y419.90,"100ml（99%,无水级）"
-----------,,,,,,
0,[Li+].F[P-](F)(F)(F)(F)F,2637,YES,Aladdin,Y909.90,"5g(99.99%, 电子级)"
1,[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2,1846,YES,Aladdin,Y109.90,25g（≥99%)
2,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,991,YES,Aladdin,Y216.90,5g(99.9%)
3,[Li+].F[As-](F)(F)(F)(F)F,793,YES,Aladdin,Y1499.90,5g(99.9%)
4,[Li+].[B-](F)(F)(F)F,570,YES,Aladdin,Y175.90,5g(99.9%)
5,[Li+].[O-]Cl(=O)(=O)=O,437,YES,Aladdin,Y291.90,"25g(99.9%, 无水级)"
6,[Li+].C(F)(F)(F)S(=O)(=O)[O-],208,YES,Aladdin,Y133.90,25g（≥99.5%)
7,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,152,YES,Sigma-Aldrich,Y1014.66,"5g(99.9%, 电池级)"
8,[Li+].FC(F)(F)C1=NC2=C([N-]1)C=C(C#N)C(=C2)C#N,95,,,,
9,[Li+].C1=CC=C2C(=C1)O[P-]34(O2)(OC5=CC=CC=C5O3)OC6=CC=CC=C6O4,69,,,,
10,[Li+].[B-]1(OC(=O)C(=O)O1)(F)F,65,YES,Aladdin,Y197.90,25g（≥99%)
11,[Li+].C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,52,YES,Aladdin,Y308.90,250mg（98%）
12,[Li+].c1ccc2O[B-]3(Oc2c1)Oc1ccccc1O3,52,YES,湖南增达生物科技有限公司（定制）,,
13,[Li+].FC(F)(F)S(=O)(=O)[C-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,39,YES,富士和光纯药(定制),Y3425.00,1g
14,[Li+].[B-]12(OC3=CC4=CC=CC=C4C=C3O1)OC5=CC6=CC=CC=C6C=C5O2,34,NO,,,
15,[Li+].[B-](C(C(F)(F)F)(F)F)(F)(F)F,20,NO,,,
16,[O-]Cl(=O)(=O)=O.[Na+],19,YES,Aladdin,Y218.90,25g(99.99%)
17,[Li+].F[P-](F)(F)(F)(F)F.COCCOCCOC.COCCOCCOC,18,,,,
18,[Li+].C(#N)C1=C(N=C([N-]1)C(F)(F)F)C#N,15,YES,Aladdin,Y299.90,1g(97%)
19,[Li+].O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,15,YES,Aladdin,Y199.90,25g(95%)
20,N#Cc1n[n-]nc1C#N.[Li+],15,,,,
21,[Li+].F[P-](F)(F)(F)(F)F.CN(C)CCN(C)CCN(C)C,15,,,,
22,[Li+].C(#N)[S-],15,YES,Apollo,Y2090.00,29g
23,[Li+].O=C1O[B-]2(OC(=O)c3ccccc3O2)Oc2ccccc12,14,,,,
24,[Li+].c1ccc2c(c1)O[B-]1(Oc3ccccc23)Oc2ccccc2c2ccccc2O1,13,,,,
